#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,TagName
,,0,2023-05-11T09:30:55.000Z,2023-05-11T09:35:55.001Z,2023-05-11T09:33:55.000Z,4.51184988,TagValue_,History,xVRMS
,,1,2023-05-11T09:30:55.000Z,2023-05-11T09:35:55.001Z,2023-05-11T09:33:55.000Z,5.188330173,TagValue_,History,yVRMS
,,2,2023-05-11T09:30:55.000Z,2023-05-11T09:35:55.001Z,2023-05-11T09:33:55.000Z,4.04090023,TagValue_,History,zVRMS
,,3,2023-05-11T09:30:55.000Z,2023-05-11T09:35:55.001Z,2023-05-11T09:34:09.000Z,6.37130022,TagValue_,History,xVRMS
,,4,2023-05-11T09:30:55.000Z,2023-05-11T09:35:55.001Z,2023-05-11T09:34:09.000Z,7.650869846,TagValue_,History,yVRMS
,,5,2023-05-11T09:30:55.000Z,2023-05-11T09:35:55.001Z,2023-05-11T09:34:09.000Z,5.780819893,TagValue_,History,zVRMS
,,6,2023-05-11T09:30:55.000Z,2023-05-11T09:35:55.001Z,2023-05-11T09:34:30.000Z,4.795100212,TagValue_,History,xVRMS
,,7,2023-05-11T09:30:55.000Z,2023-05-11T09:35:55.001Z,2023-05-11T09:34:30.000Z,5.718389988,TagValue_,History,yVRMS
,,8,2023-05-11T09:30:55.000Z,2023-05-11T09:35:55.001Z,2023-05-11T09:34:30.000Z,4.321360111,TagValue_,History,zVRMS
