#group,false,false,false,false,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,TagName
,,0,2024-03-01T09:30:55.000Z,2024-03-11T09:35:55.001Z,2024-03-07T09:33:55.000Z,4.51184988,TagValue_,History,Gurkan2
,,0,2024-03-01T09:30:55.000Z,2024-03-11T09:35:55.001Z,2024-03-07T09:34:09.000Z,6.37130022,TagValue_,History,Gurkan2
,,0,2024-03-01T09:30:55.000Z,2024-03-11T09:35:55.001Z,2024-03-07T09:34:30.000Z,4.795100212,TagValue_,History,Gurkan2
,,0,2024-03-01T09:30:55.000Z,2024-03-11T09:35:55.001Z,2024-03-07T09:34:50.000Z,1.795100212,TagValue_,History,Gurkan2
